Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,confidence_score,pred_label
1.56632,1.55856,0.978581,2.07135,-0.304362,-0.00971235,1.56887,1.55461,0.332246,-0.5709,-0.92957,0.181466,-1.78021,-0.63907,0.141644,-0.46229,BARBUNYA,1,CALI
-0.0829111,0.202994,0.440429,-0.730778,1.31301,1.08792,-0.0858879,-0.00854381,-1.08607,0.169032,-1.26385,-1.24099,0.682619,-0.950202,-1.21543,0.405968,HOROZ,1,HOROZ
8.30242,5.13763,4.03186,7.70087,-0.459884,-0.180786,8.21531,6.02477,0.169908,0.878853,0.447046,0.370548,-4.01697,-1.42901,0.334418,0.186406,BOMBAY,1,unknown
6.59243,4.65957,3.62862,6.08447,-0.0826204,0.20614,6.63021,5.05829,0.315394,-1.68093,-0.686518,-0.0519996,-3.55524,-1.4604,-0.0923703,-0.517907,BOMBAY,1,unknown
1.12389,1.0184,0.841272,1.34629,0.0176416,0.294396,1.11209,1.16759,-1.28055,0.268575,-0.0633169,-0.135444,-1.30353,-0.701183,-0.174936,0.119132,BARBUNYA,1,CALI
1.68436,2.71748,1.29622,1.77159,0.223861,0.460244,1.70565,1.65468,0.627236,-1.47435,-4.52689,-0.33914,-1.59759,-0.949666,-0.374112,-0.0273479,BARBUNYA,1,unknown
1.02463,1.33717,1.38049,0.405098,1.42654,1.13621,1.03856,1.07796,-0.88071,-1.12493,-1.83082,-1.36329,-0.487087,-1.31131,-1.32444,-1.17908,HOROZ,1,HOROZ
1.4394,1.98399,1.83104,0.604004,1.7939,1.27693,1.46042,1.44558,1.01169,-1.47932,-2.92997,-1.62054,-0.66664,-1.50328,-1.54975,-1.18442,HOROZ,1,unknown
1.37299,1.3831,1.19688,1.38417,0.38926,0.579872,1.45241,1.3879,0.519294,-4.40179,-0.826517,-0.543025,-1.27123,-0.985231,-0.570095,-1.94987,CALI,1,unknown
-0.348958,-0.360374,-0.349643,-0.186226,-0.315529,-0.0214151,-0.351782,-0.298909,0.911983,0.286522,0.445807,0.20456,0.0660567,0.111994,0.165033,-0.0651225,SIRA,1,SIRA
2.95771,3.0597,1.85202,3.22292,-0.119038,0.172722,2.98245,2.66316,-0.887379,-1.52977,-2.58784,0.0196979,-2.455,-1.0121,-0.0209754,0.742734,BARBUNYA,1,unknown
-1.09376,-1.22385,-1.20333,-0.922256,-0.957293,-0.87563,-1.08866,-1.19945,0.183958,-0.0903898,1.05603,0.989153,0.912087,1.40184,0.985399,0.8754,DERMASON,1,DERMASON
-0.419838,-0.588968,-1.00122,0.868215,-1.82043,-3.19119,-0.429052,-0.378681,0.524135,0.882094,1.50606,2.26886,-0.956272,1.99542,2.43079,0.913344,SEKER,1,SEKER
-0.0102574,0.389822,0.541548,-0.683496,1.40898,1.1289,0.00706858,0.0684395,0.876647,-1.37393,-1.82688,-1.32516,0.64416,-1.02122,-1.29058,-0.141681,HOROZ,1,HOROZ
-0.676491,-0.622877,-0.679565,-0.560616,-0.475302,-0.198746,-0.670481,-0.677042,-0.587855,-0.363605,0.0113812,0.399046,0.467623,0.480585,0.363723,0.581945,DERMASON,1,DERMASON
0.0692282,0.0888734,0.145696,0.0830556,0.127992,0.385614,0.0770441,0.151605,-0.150567,-0.680467,0.115789,-0.255868,-0.204563,-0.415601,-0.293095,-0.338348,SIRA,1,SIRA
1.60974,1.53562,0.790047,2.45557,-0.716614,-0.50698,1.61483,1.59157,0.878116,-0.69909,-0.691128,0.678186,-2.03731,-0.357176,0.65427,0.505974,BARBUNYA,1,unknown
1.83781,2.11137,1.40826,1.89643,0.258098,0.485922,1.86123,1.78291,0.970637,-1.56053,-2.2412,-0.372335,-1.67899,-0.999184,-0.406251,-0.0642941,BARBUNYA,1,unknown
-0.394678,-0.445795,-0.626126,0.206493,-0.968006,-0.893755,-0.394645,-0.350242,0.621664,0.0657571,0.706644,0.958674,-0.31686,0.744043,0.952596,-0.625278,SIRA,1,SIRA
8.57582,5.7608,4.81882,6.97854,0.360999,0.560201,8.69088,6.17234,-0.0807092,-3.05746,-0.944874,-0.547016,-3.77083,-1.76246,-0.573899,-3.06946,BOMBAY,1,unknown
1.45274,1.57098,1.05323,1.69389,0.0148365,0.291999,1.46894,1.45711,-0.968585,-1.23872,-1.34893,-0.136166,-1.54563,-0.787825,-0.175648,-0.0105236,BARBUNYA,1,CALI
2.0741,2.25918,1.58493,2.05647,0.33502,0.541846,2.09981,1.97646,-1.51044,-1.64092,-2.11443,-0.434658,-1.79072,-1.07681,-0.466349,0.280979,BARBUNYA,1,unknown
2.62932,2.5734,2.09711,2.39962,0.625371,0.73304,2.69035,2.41429,-0.0686356,-2.97081,-1.77329,-0.76013,-1.93172,-1.32075,-0.775073,-2.30133,CALI,1,CALI
0.84569,0.999363,1.10946,0.4517,1.04339,0.962612,0.836059,0.913555,1.00422,0.243184,-1.03561,-1.10076,-0.495541,-1.14458,-1.08895,-2.23451,HOROZ,1,HOROZ
0.0681114,0.00140484,-0.112498,0.520565,-0.532851,-0.267507,0.0597439,0.150444,0.984076,0.49942,0.615694,0.433707,-0.614243,0.0566076,0.399456,-0.502438,SIRA,1,SIRA
0.732374,0.956684,1.25719,-0.0659854,1.74033,1.25777,0.72322,0.80747,-2.27009,0.256235,-1.2802,-1.54342,-0.0814857,-1.33226,-1.48277,0.519159,HOROZ,1,HOROZ
1.34133,1.5667,0.940185,1.61643,-0.0562934,0.229836,1.34287,1.36025,-1.23831,-0.489947,-1.69242,-0.0435754,-1.51434,-0.707949,-0.0840033,0.771793,BARBUNYA,1,unknown
1.37772,1.34198,1.07239,1.47209,0.187608,0.432504,1.3694,1.39202,-0.0224114,0.00882218,-0.630832,-0.279011,-1.41787,-0.846994,-0.315668,0.937536,BARBUNYA,1,CALI
0.542463,0.954484,0.530094,0.559088,0.233172,0.467276,0.562419,0.62602,0.788827,-1.5006,-2.00675,-0.335902,-0.67807,-0.641441,-0.370972,0.424928,BARBUNYA,1,unknown
7.19094,5.03113,4.07781,6.29356,0.149189,0.402472,7.20667,5.40567,-1.85489,-1.16845,-0.853122,-0.329499,-3.58563,-1.606,-0.364761,-2.31949,BOMBAY,1,unknown
0.872558,0.831239,0.398065,1.52375,-0.591033,-0.339913,0.87634,0.938479,-0.0243041,-0.54166,-0.13846,0.534554,-1.44728,-0.21244,0.503978,0.683629,BARBUNYA,1,unknown
-0.126398,-0.271743,-0.484516,0.649702,-1.07512,-1.08432,-0.141145,-0.0550785,0.252371,1.11045,1.21467,1.13981,-0.767015,0.714736,1.14865,0.734585,SEKER,1,SEKER
8.15967,5.53209,4.22334,7.46628,-0.244484,0.0516082,8.24862,5.94701,0.571298,-2.61585,-0.880818,0.0179012,-3.88449,-1.54793,-0.0227696,-4.04568,BOMBAY,1,unknown
-0.0630726,0.355492,-0.0567454,0.0587928,-0.118295,0.173411,-0.0467041,0.0125706,0.613299,-1.30617,-1.91222,0.00826519,-0.203514,-0.180024,-0.0323879,0.352477,BARBUNYA,1,unknown
2.2761,2.39632,1.68624,2.27386,0.294528,0.512707,2.27327,2.13839,0.963836,-0.418313,-2.05836,-0.396902,-1.92463,-1.09577,-0.429979,0.291801,BARBUNYA,1,unknown
1.82599,1.69334,1.46953,1.7825,0.40192,0.588586,1.80816,1.7731,1.04375,0.345214,-0.666292,-0.506871,-1.60175,-1.06405,-0.53559,-0.141081,CALI,1,CALI
0.076914,0.3859,-0.0937687,0.48672,-0.485874,-0.211172,0.0924077,0.159589,-0.612583,-1.23537,-1.40257,0.398876,-0.604767,0.0271916,0.363549,0.152882,BARBUNYA,1,unknown
2.39421,2.31049,1.29625,3.19078,-0.617267,-0.373557,2.39966,2.23165,-0.790526,-0.776748,-1.44264,0.529332,-2.40758,-0.639807,0.498545,-0.57123,BARBUNYA,1,unknown
1.50851,1.54081,1.18266,1.58262,0.23153,0.466039,1.5129,1.50514,0.449068,-0.654774,-1.04359,-0.334201,-1.48138,-0.907569,-0.369323,0.430632,BARBUNYA,1,CALI
-0.222306,-0.258276,-0.335889,0.12986,-0.53802,-0.27382,-0.225193,-0.15896,1.36979,0.226994,0.56637,0.455669,-0.264696,0.228212,0.422148,0.0627018,SIRA,1,SIRA
2.27406,2.29646,1.48062,2.61957,-0.126227,0.166036,2.30354,2.13677,0.932314,-1.77964,-1.7114,0.00250179,-2.11397,-0.896305,-0.0381371,-0.156083,BARBUNYA,1,unknown
-0.222438,-0.391889,-0.842961,1.12299,-1.76473,-2.95587,-0.231778,-0.159104,0.635704,0.749007,1.42497,2.17472,-1.15842,1.72283,2.31993,0.906147,SEKER,1,SEKER
0.342829,0.32617,0.243773,0.581023,-0.136319,0.156599,0.340485,0.429986,0.694415,-0.0388644,0.155106,0.0108532,-0.676699,-0.354222,-0.0298055,-0.230646,SIRA,1,SIRA
-1.18881,-1.29188,-1.21912,-1.20599,-0.749491,-0.553353,-1.18097,-1.32617,0.83637,-0.372976,0.739597,0.718319,1.32053,1.24349,0.696563,0.517783,DERMASON,1,DERMASON
0.841223,1.11147,1.44598,0.0431793,1.87534,1.30525,0.872209,0.909403,1.68562,-2.10543,-1.54534,-1.72895,-0.0572138,-1.44,-1.64309,-3.44429,HOROZ,1,unknown
2.02385,2.28992,1.38421,2.28471,-0.0192083,0.262579,2.0332,1.93568,1.07763,-0.923342,-2.3558,-0.0979037,-1.92738,-0.897225,-0.137861,0.147501,BARBUNYA,1,unknown
0.532543,0.551672,0.659848,0.346118,0.570071,0.698864,0.524591,0.616411,0.159738,0.258466,-0.167413,-0.646746,-0.478087,-0.818193,-0.668501,0.227857,SIRA,1,SIRA
-0.192154,-0.153721,-0.22613,0.0175376,-0.309442,-0.0150251,-0.198339,-0.126112,-0.919188,0.475971,0.107724,0.202706,-0.153327,0.02304,0.163154,0.1044,SIRA,1,SIRA
0.453452,0.749249,1.16801,-0.497539,2.09882,1.37827,0.444868,0.539311,0.0508382,0.331406,-1.46042,-1.79012,0.409739,-1.38357,-1.69534,0.121565,HOROZ,1,HOROZ
-0.527439,-0.535934,-0.464236,-0.504606,-0.21426,0.0816737,-0.525494,-0.50189,0.575292,-0.0429443,0.43977,0.114793,0.400805,0.152486,0.0743626,0.594618,DERMASON,1,DERMASON
1.29055,1.18012,0.708483,1.93101,-0.502452,-0.230842,1.28148,1.31569,1.2709,0.0712221,-0.207497,0.415981,-1.70572,-0.424205,0.38117,0.0937248,BARBUNYA,1,CALI
1.15338,1.20875,0.657342,1.71958,-0.428898,-0.145258,1.15966,1.19401,-1.13758,-0.715448,-0.832054,0.334033,-1.56667,-0.432635,0.296963,0.119631,BARBUNYA,1,unknown
0.845033,1.10255,0.369465,1.53748,-0.630875,-0.391263,0.873952,0.912945,-0.783208,-1.98617,-1.49291,0.562694,-1.43871,-0.184014,0.533291,0.0369735,BARBUNYA,1,unknown
2.48559,2.21705,2.11644,2.06103,0.884224,0.880758,2.47545,2.30309,0.928371,-0.147325,-0.846284,-0.940213,-1.76183,-1.37768,-0.942191,-0.903826,CALI,1,CALI
1.34008,1.78255,1.00423,1.55599,0.0544215,0.325461,1.37902,1.35916,-0.0921109,-2.39735,-2.51538,-0.185134,-1.44009,-0.786443,-0.223835,-0.374382,BARBUNYA,1,unknown
0.717134,1.02934,1.23164,-0.0175523,1.65543,1.22649,0.715216,0.793081,-2.684,-0.174444,-1.65718,-1.5183,-0.0838294,-1.31707,-1.46085,-0.874242,HOROZ,1,HOROZ
5.6679,3.84194,2.9535,5.83337,-0.471628,-0.194449,5.61538,4.49969,-0.431553,0.590648,0.342247,0.38432,-3.48942,-1.20021,0.348572,0.206594,BOMBAY,1,unknown
-0.75729,-0.805271,-0.809465,-0.577947,-0.647881,-0.413637,-0.759499,-0.774323,0.761421,0.482853,0.662541,0.605796,0.478807,0.718679,0.578313,0.842377,DERMASON,1,DERMASON
1.40452,1.75062,2.04204,0.2502,2.42629,1.47416,1.38592,1.41534,-2.21284,0.52637,-2.20046,-1.99946,-0.375358,-1.65247,-1.87183,-0.13514,HOROZ,1,HOROZ
3.19774,2.74646,1.84596,3.69167,-0.37536,-0.085604,3.18889,2.84077,0.270948,-0.307116,-0.997978,0.275809,-2.66522,-0.926291,0.237466,0.153704,BARBUNYA,1,unknown
0.430789,0.195655,-0.0970415,1.38161,-1.05662,-1.05015,0.410073,0.517057,0.013612,1.13832,1.32576,1.11285,-1.34483,0.380862,1.1193,0.65755,SEKER,1,SEKER
8.60203,5.79271,4.91376,6.74461,0.533354,0.67562,8.62929,6.18639,-0.614646,-1.38481,-0.994992,-0.650944,-3.73957,-1.79653,-0.672465,-1.17006,BOMBAY,1,unknown
0.191215,0.168173,0.282353,0.14789,0.252709,0.481913,0.179942,0.277185,-0.61479,0.64133,0.289047,-0.364093,-0.282259,-0.533205,-0.398279,0.0558138,SIRA,1,SIRA
0.0845341,0.176508,0.269034,-0.101444,0.449656,0.620909,0.0809173,0.167496,-0.393532,0.144986,-0.291405,-0.531481,-0.04592,-0.5956,-0.559089,0.562694,SIRA,1,SIRA
-0.891167,-0.881831,-0.654909,-1.23254,0.169462,0.418401,-0.892672,-0.939414,1.16177,0.510269,0.199792,-0.270713,1.35605,0.102403,-0.30758,0.597665,DERMASON,1,DERMASON
9.56335,6.08559,5.04084,7.64568,0.221546,0.458489,9.48307,6.69136,-0.721267,0.552831,-0.566414,-0.339391,-3.9981,-1.74773,-0.374356,-0.118966,BOMBAY,1,unknown
-0.674389,-0.758856,-0.793498,-0.350804,-0.799491,-0.626147,-0.675774,-0.674534,-0.480932,0.345983,0.937199,0.784501,0.220637,0.806648,0.766594,0.688401,DERMASON,1,DERMASON
6.87621,4.75199,3.16849,7.3855,-0.915694,-0.80675,6.87661,5.22431,0.645136,-0.823572,-0.517951,0.861704,-3.90561,-1.11537,0.848736,-1.64077,BOMBAY,1,unknown
1.21776,1.29048,0.692081,1.79005,-0.434864,-0.15204,1.21628,1.25137,0.734639,-0.310937,-0.962157,0.347436,-1.62056,-0.444089,0.310698,0.360007,BARBUNYA,1,unknown
9.23194,6.01301,5.34876,6.87004,0.775725,0.821181,9.22815,6.51953,1.88602,-0.806434,-0.781175,-0.862058,-3.77195,-1.89088,-0.869987,-1.33412,BOMBAY,1,unknown
0.637188,1.03743,1.45689,-0.483955,2.4925,1.49212,0.635816,0.717114,-0.821138,-0.186956,-1.99414,-2.02972,0.38812,-1.5306,-1.89706,0.277732,HOROZ,1,HOROZ
1.50365,1.59683,0.813045,2.17577,-0.537002,-0.272574,1.5209,1.50096,-0.543703,-1.28948,-1.28983,0.474553,-1.87765,-0.450654,0.441691,0.769814,BARBUNYA,1,unknown
-1.0418,-1.11543,-1.01432,-1.09465,-0.524607,-0.257486,-1.04166,-1.1315,-0.316754,0.448614,0.674793,0.457715,1.15518,0.841579,0.424264,0.676579,DERMASON,1,DERMASON
2.11188,1.84559,1.65847,2.0258,0.432492,0.609383,2.08684,2.00698,-0.925838,0.580123,-0.425998,-0.53055,-1.76408,-1.13019,-0.558201,0.00856443,CALI,1,CALI
2.23912,2.22673,1.53777,2.45141,0.0319767,0.306585,2.23176,2.10898,-0.393061,-0.22003,-1.55218,-0.152032,-2.02274,-0.968175,-0.191283,0.0312849,BARBUNYA,1,unknown
3.1065,2.79435,1.63089,3.91379,-0.674019,-0.448576,3.12589,2.77366,-0.379828,-1.32579,-1.3826,0.613541,-2.76226,-0.737303,0.58642,0.0313502,BARBUNYA,1,unknown
0.847858,1.04403,0.658068,1.10437,-0.0214981,0.260578,0.881827,0.915569,0.0576653,-2.27418,-1.22698,-0.137775,-1.07528,-0.621823,-0.177234,-1.4034,BARBUNYA,1,CALI
0.675026,0.848602,0.414766,1.07363,-0.28169,0.0137861,0.683778,0.753171,1.51487,-0.811257,-1.01487,0.163851,-1.08667,-0.380473,0.123834,-0.22074,BARBUNYA,1,unknown
8.8778,5.88877,4.99478,7.03606,0.455503,0.624811,8.99931,6.33332,0.427972,-3.1279,-0.896987,-0.613218,-3.79953,-1.79895,-0.636787,-2.35743,BOMBAY,1,unknown
2.7314,2.44156,1.03621,4.34848,-1.3716,-1.7201,2.73921,2.49241,1.44203,-0.889327,-1.04394,1.53095,-2.94533,-0.128532,1.5811,-0.0357668,BARBUNYA,1,unknown
-1.33806,-1.46035,-1.18983,-1.75146,-0.188625,0.106725,-1.32795,-1.53196,1.51056,-0.607108,0.667852,0.070721,2.21362,0.797578,0.0300866,-0.028493,DERMASON,1,DERMASON
-0.674848,-0.751607,-1.00651,0.0725846,-1.37652,-1.73229,-0.675257,-0.675083,0.19038,0.252235,0.883361,1.55785,-0.225837,1.52512,1.6113,0.604111,SEKER,1,SEKER
2.51305,2.25768,1.41945,3.17362,-0.493808,-0.220558,2.52018,2.32445,-0.0741907,-0.85255,-0.927735,0.404019,-2.41304,-0.733328,0.368845,0.0172481,BARBUNYA,1,unknown
-1.30948,-1.27358,-1.10242,-1.81737,0.0335083,0.307881,-1.30097,-1.49187,0.724173,-0.407131,-0.483674,-0.136274,2.29881,0.579197,-0.175755,0.670898,DERMASON,1,DERMASON
-0.379372,-0.418942,-0.701209,0.34905,-1.1566,-1.24173,-0.382251,-0.333008,0.266012,0.307611,0.629567,1.25295,-0.500351,0.988113,1.27246,0.829977,SEKER,1,SEKER
6.581,4.54692,3.59915,6.11251,-0.116515,0.175062,6.56063,5.05155,-0.261128,-0.329093,-0.365461,-0.0153512,-3.56535,-1.44554,-0.0559288,-0.443566,BOMBAY,1,unknown
1.53807,1.61871,1.07969,1.79856,-0.0258905,0.256733,1.53168,1.53048,-0.666627,-0.127115,-1.26846,-0.0780742,-1.63363,-0.776988,-0.118231,0.631174,BARBUNYA,1,CALI
-0.660134,-0.816988,-1.10787,0.332348,-1.66228,-2.57157,-0.666543,-0.657554,0.438676,0.819096,1.45545,2.00425,-0.484783,1.96244,2.121,0.830583,SEKER,1,SEKER
2.70493,2.6755,1.91002,2.68541,0.253798,0.482724,2.71378,2.47222,1.24699,-0.928777,-1.93637,-0.350163,-2.1701,-1.14685,-0.384794,0.619285,BARBUNYA,1,unknown
-0.865876,-0.915857,-0.798792,-0.926671,-0.341336,-0.0487905,-0.866528,-0.907838,0.724183,0.401265,0.628874,0.25773,0.919355,0.510261,0.219048,0.839146,DERMASON,1,DERMASON
0.375806,0.222065,0.0200411,1.0245,-0.708302,-0.495437,0.364305,0.462761,0.546503,0.559349,0.898601,0.669071,-1.07063,0.0798963,0.644682,0.536775,BARBUNYA,1,SEKER
0.220908,0.23904,-0.0370682,0.728654,-0.582908,-0.329621,0.218157,0.307389,0.140119,0.0307156,0.0425938,0.528868,-0.837077,0.0512319,0.498063,0.815863,SEKER,1,SIRA
-0.547934,-0.405668,-0.82095,0.0926632,-1.146,-1.2206,-0.527818,-0.525658,0.0291159,-1.67734,-0.499814,1.22924,-0.243188,1.10029,1.24642,0.523162,SEKER,1,SEKER
1.45799,2.04318,1.24675,1.39038,0.440459,0.614746,1.51051,1.46164,0.792525,-3.0311,-3.07716,-0.531173,-1.33977,-0.99841,-0.558795,0.258506,BARBUNYA,1,unknown
0.496085,0.807658,0.32661,0.778647,-0.179631,0.115417,0.526915,0.580979,0.797086,-2.19074,-1.5499,0.0762592,-0.869917,-0.370984,0.0356418,0.514491,BARBUNYA,1,unknown
0.359186,0.710111,0.853067,-0.27885,1.41568,1.13169,0.365919,0.446263,1.02992,-0.64749,-1.67499,-1.33586,0.178343,-1.13819,-1.3001,-0.37997,HOROZ,1,HOROZ
1.03343,1.15262,1.404,0.359138,1.50045,1.16636,1.02146,1.08595,-1.94207,0.309869,-1.0181,-1.3942,-0.474308,-1.32748,-1.3518,-0.261499,HOROZ,1,HOROZ
10.3219,6.44345,5.26943,8.28703,0.108134,0.369632,10.2946,7.07633,-0.110069,-0.438118,-0.597439,-0.269707,-4.12836,-1.76245,-0.306599,-1.56665,BOMBAY,1,unknown
10.7052,6.56908,5.46584,8.40695,0.183772,0.429535,10.678,7.2667,0.848885,-0.459851,-0.483014,-0.336142,-4.15963,-1.80011,-0.371205,-1.33822,BOMBAY,1,unknown
-0.233737,-0.240422,-0.212519,-0.12877,-0.175746,0.119157,-0.242106,-0.171459,0.960155,0.677739,0.38992,0.0722175,-0.0154711,-0.0491567,0.0315875,0.514983,SIRA,1,SIRA
2.6912,2.18413,1.15747,3.9819,-1.11561,-1.1611,2.68234,2.46173,-0.00862236,-0.233363,-0.154592,1.19278,-2.80659,-0.325354,1.20648,0.685132,BARBUNYA,1,unknown
-0.656521,-0.796783,-0.902386,-0.0865441,-1.13513,-1.19913,-0.662799,-0.653259,-0.0388165,0.8035,1.33521,1.22045,-0.0670726,1.18531,1.23679,0.724122,SEKER,1,SEKER
-0.294566,-0.298977,-0.301603,-0.142504,-0.285078,0.0102968,-0.29433,-0.238409,-0.801975,0.00475179,0.39141,0.189969,-0.00349738,0.0699419,0.150251,0.589745,BARBUNYA,1,SIRA
1.03324,1.18076,0.37212,1.94565,-0.864937,-0.725806,1.04883,1.08577,-0.412339,-1.21617,-1.14226,0.864394,-1.72972,-0.051467,0.851606,0.633538,BARBUNYA,1,unknown
-0.0879036,-0.19869,-0.547991,0.899693,-1.30017,-1.54981,-0.0935051,-0.0138686,-0.200387,0.373433,0.973489,1.44038,-0.965817,0.94423,1.47986,0.380499,SEKER,1,SEKER
0.848646,1.23847,0.669874,1.00908,0.0605598,0.33058,0.878471,0.916302,0.19263,-2.03718,-2.04779,-0.163741,-1.06159,-0.637323,-0.202807,0.64281,BARBUNYA,1,unknown
1.45418,1.738,1.20528,1.44321,0.355626,0.556426,1.47972,1.45835,0.0371779,-1.70261,-1.99985,-0.452272,-1.38002,-0.956839,-0.483277,0.331038,BARBUNYA,1,unknown
-1.36085,-1.49747,-1.25051,-1.7453,-0.300017,-0.00518157,-1.35745,-1.56418,0.672216,0.309582,0.743527,0.209132,2.17046,0.953817,0.169668,0.701448,DERMASON,1,DERMASON
7.0945,4.66317,3.64685,6.74379,-0.348745,-0.0567365,7.02631,5.3504,1.31662,0.696657,0.0927143,0.235308,-3.75585,-1.39055,0.196241,-0.254333,BOMBAY,1,unknown
1.54168,1.50162,1.48089,1.249,0.812408,0.841685,1.53627,1.53357,0.015678,-0.17577,-0.769525,-0.878475,-1.20467,-1.18804,-0.885194,-0.788017,CALI,1,CALI
-0.649492,-0.781406,-0.996719,0.12564,-1.39671,-1.78302,-0.655246,-0.644911,0.139633,0.747583,1.27551,1.59459,-0.286227,1.53683,1.65264,0.832258,SEKER,1,SEKER
1.43126,1.50375,1.05766,1.62487,0.0660244,0.335122,1.4415,1.43853,-0.541031,-0.940797,-1.14269,-0.174815,-1.51066,-0.80364,-0.213696,0.431128,BARBUNYA,1,CALI
5.61758,3.91142,2.7734,6.06767,-0.700647,-0.484869,5.57354,4.46846,0.881885,0.378385,0.0135908,0.655991,-3.5673,-1.07598,0.630935,0.401669,BOMBAY,1,unknown
-0.703752,-0.864282,-1.03343,0.0262878,-1.38296,-1.74835,-0.709277,-0.709675,0.066511,0.769513,1.47992,1.57624,-0.188963,1.57148,1.63197,0.894423,SEKER,1,SEKER
1.4976,1.58904,0.76976,2.27016,-0.634869,-0.396493,1.50689,1.49577,0.122228,-0.896358,-1.2776,0.568779,-1.91702,-0.39187,0.539637,0.085431,BARBUNYA,1,unknown
-0.234525,-0.0140345,0.231506,-0.736933,1.01239,0.947162,-0.225968,-0.172322,-0.905357,-0.690724,-0.912268,-1.06459,0.773037,-0.792278,-1.05608,-1.76558,HOROZ,1,HOROZ
6.23369,4.23033,2.99203,6.63751,-0.76503,-0.575678,6.20403,4.84488,1.2862,-0.0731694,0.055137,0.723565,-3.73096,-1.11189,0.702101,0.0451556,BOMBAY,1,unknown
1.51192,1.66615,0.743341,2.32393,-0.691555,-0.472396,1.53878,1.50807,-0.185745,-1.76017,-1.54147,0.652739,-1.96429,-0.344511,0.62752,0.66727,BARBUNYA,1,unknown
0.367069,0.333025,0.209803,0.699538,-0.263958,0.0319254,0.381347,0.454093,0.730347,-1.1465,0.232802,0.142156,-0.776975,-0.278142,0.101931,-0.320311,SIRA,1,SIRA
1.02897,1.08318,0.994971,0.950802,0.485537,0.644663,1.02359,1.0819,-0.583071,-0.0560345,-0.723358,-0.604976,-0.964555,-0.934382,-0.628977,-1.02471,CALI,1,CALI
-0.0618901,0.275383,0.615815,-0.877305,1.7413,1.25812,-0.0607767,0.0138268,-2.34188,-0.151793,-1.52157,-1.57406,0.91497,-1.13732,-1.50944,-0.734593,HOROZ,1,HOROZ
-0.307901,-0.412662,-0.633877,0.423303,-1.11856,-1.16682,-0.312146,-0.253185,0.478888,0.383303,1.03354,1.20183,-0.569618,0.890677,1.21639,0.853774,SEKER,1,SEKER
